Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-20,1.7,1.74,1.53,1.59,9493,0,0
2019-11-21,1.95,1.95,1.5,1.6,18853,0,0
2019-11-22,1.5,1.91,1.5,1.91,4223,0,0
2019-11-25,1.89,1.89,1.8,1.89,3247,0,0
2019-11-26,1.7,1.72,1.6,1.6,1900,0,0
2019-11-27,1.64,1.65,1.6,1.6,4293,0,0
2019-11-29,1.6,2.3,1.6,1.7,5910,0,0
2019-12-02,1.7,1.7,1.66,1.66,2240,0,0
2019-12-03,1.66,1.66,1.51,1.65,3253,0,0
2019-12-04,1.63,1.63,1.6,1.6,5600,0,0
2019-12-05,1.58,1.58,1.5,1.5,2673,0,0
2019-12-06,1.5,1.59,1.5,1.59,8259,0,0
2019-12-09,1.59,1.6,0.05,1.6,8290,0,0
2019-12-10,1.4,1.6,1.0,1.5,16444,0,0
2019-12-11,1.25,1.5,1.2,1.5,8090,0,0
2019-12-12,1.35,1.45,1.35,1.36,3917,0,0
2019-12-13,1.4,1.73,1.4,1.65,18408,0,0
2019-12-16,1.65,1.65,1.35,1.37,13413,0,0
2019-12-17,1.35,1.39,1.3,1.37,10888,0,0
2019-12-18,1.0,1.5,1.0,1.37,27705,0,0
2019-12-19,1.3,1.5,1.0,1.49,9249,0,0
2019-12-20,1.4,1.4,1.32,1.32,9345,0,0
2019-12-23,1.32,1.4,1.32,1.4,4000,0,0
2019-12-24,1.32,1.34,1.32,1.34,6428,0,0
2019-12-26,1.32,1.32,1.0,1.26,12842,0,0
2019-12-27,1.26,1.35,1.2,1.2,17912,0,0
2019-12-30,1.2,1.2,1.1,1.15,24917,0,0
2019-12-31,1.11,1.15,1.0,1.05,23813,0,0
2020-01-02,1.2,1.2,1.01,1.1,9066,0,0
2020-01-03,1.1,1.11,1.1,1.1,5282,0,0
2020-01-06,1.12,1.12,1.1,1.11,6490,0,0
2020-01-07,1.11,1.48,1.1,1.4,23750,0,0
2020-01-08,1.25,1.4,1.25,1.3,12408,0,0
2020-01-09,1.39,1.88,1.37,1.88,18123,0,0
2020-01-10,1.79,1.88,1.2,1.62,28698,0,0
2020-01-13,1.62,2.9,1.62,2.7,93021,0,0
2020-01-14,2.7,2.76,1.4,1.97,58394,0,0
2020-01-15,1.97,2.5,1.51,1.86,24691,0,0
2020-01-16,1.97,2.0,1.55,1.56,20761,0,0
2020-01-17,1.99,1.99,1.75,1.76,13782,0,0
2020-01-21,1.75,3.0,1.62,2.05,25862,0,0
2020-01-22,2.2,2.2,1.8,1.87,9633,0,0
2020-01-23,1.87,1.9,1.56,1.9,23560,0,0
2020-01-24,1.99,1.99,1.85,1.86,3761,0,0
2020-01-27,2.09,2.15,1.88,2.15,16911,0,0
2020-01-28,2.2,2.2,1.76,1.95,9277,0,0
2020-01-29,1.96,2.2,1.96,1.98,10605,0,0
2020-01-30,2.1,2.3,1.85,2.24,19608,0,0
2020-01-31,2.09,2.24,2.09,2.18,6257,0,0
2020-02-03,2.1,2.5,2.1,2.47,36335,0,0
2020-02-04,2.5,2.9,2.18,2.69,94806,0,0
2020-02-05,2.41,2.65,2.4,2.65,21602,0,0
2020-02-06,2.35,2.47,2.3,2.43,6578,0,0
2020-02-07,2.44,2.44,2.06,2.2,15276,0,0
2020-02-10,2.55,2.55,1.95,2.2,21946,0,0
2020-02-11,2.0,2.2,2.0,2.01,9675,0,0
2020-02-12,2.03,2.3,2.01,2.03,5937,0,0
2020-02-13,2.03,2.32,2.03,2.3,24911,0,0
2020-02-14,2.37,3.0,2.01,2.4,42160,0,0
2020-02-18,2.75,2.75,2.4,2.7,21832,0,0
2020-02-19,2.72,3.25,2.7,3.05,51348,0,0
2020-02-20,3.1,3.9,3.0,3.01,64497,0,0
2020-02-21,3.03,3.78,2.5,2.8,33980,0,0
2020-02-24,2.81,3.55,2.75,2.75,99910,0,0
2020-02-25,2.81,3.75,2.75,3.53,100795,0,0
2020-02-26,3.53,4.5,3.48,4.21,193251,0,0
2020-02-27,4.21,6.6,4.21,5.5,355717,0,0
2020-02-28,5.53,9.0,5.53,6.75,510701,0,0
2020-03-02,6.0,6.9,3.0,3.18,419060,0,0
2020-03-03,3.18,5.89,3.0,4.99,243847,0,0
2020-03-04,4.99,5.48,3.51,4.75,126652,0,0
2020-03-05,4.72,5.85,4.11,5.7,260017,0,0
2020-03-06,5.38,6.5,4.99,6.25,210722,0,0
2020-03-09,6.26,8.0,6.25,7.51,216314,0,0
2020-03-10,8.0,8.0,4.3,5.5,267040,0,0
2020-03-11,5.56,6.0,4.51,5.25,98603,0,0
2020-03-12,5.0,5.5,4.0,5.0,141287,0,0
2020-03-13,4.55,7.0,4.55,6.5,231889,0,0
2020-03-16,7.1,9.87,4.8,8.1,397144,0,0
2020-03-17,14.99,15.0,7.51,11.8,373279,0,0
2020-03-18,11.8,12.2,8.85,9.55,238905,0,0
2020-03-19,9.58,23.0,5.0,14.5,313099,0,0
2020-03-20,13.75,60.0,13.0,20.9,741887,0,0
2020-03-23,19.1,24.2,8.01,9.95,650091,0,0
